home_team,away_team,home_goal,away_goal,season,round,data,hora,home_team_state_BA,home_team_state_CE,home_team_state_GO,home_team_state_MG,home_team_state_MT,home_team_state_PE,home_team_state_PR,home_team_state_RJ,home_team_state_RS,home_team_state_SC,home_team_state_SP,away_team_state_BA,away_team_state_CE,away_team_state_GO,away_team_state_MG,away_team_state_MT,away_team_state_PE,away_team_state_PR,away_team_state_RJ,away_team_state_RS,away_team_state_SC,away_team_state_SP
Fortaleza,Atletico-MG,0,2,2021,20,2021-09-12,16:00:00,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Palmeiras,Flamengo,1,3,2021,20,2021-09-12,16:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Atletico-GO,Corinthians,1,1,2021,20,2021-09-12,18:15:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Fluminense,Sao Paulo,2,1,2021,20,2021-09-12,20:30:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Sport,Internacional,0,1,2021,20,2021-09-13,20:00:00,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Chapecoense,Palmeiras,0,2,2021,21,2021-09-18,17:00:00,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Athletico-PR,Juventude,2,1,2021,21,2021-09-18,18:45:00,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Atletico-MG,Sport,3,0,2021,21,2021-09-18,19:00:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Bahia,Bragantino,1,1,2021,21,2021-09-18,21:00:00,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Ceara,Santos,0,0,2021,21,2021-09-18,21:00:00,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Internacional,Fortaleza,1,0,2021,21,2021-09-19,11:00:00,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
